Label,STEPS,URL,summary
DL_001,,https://programiz.pro/signup?ref=njfb,a a a a a a
DL_001,"Open google browser
",https://programiz.pro/signup?ref=njfb,open google browser. open google browser.
DL_001,"launch given url https://programiz.pro/signup?ref=njfb
",https://programiz.pro/signup?ref=njfb,launch given url https://programiz.pro/signup?ref=
DL_001," click on ""Sign Up with Email"" button
",https://programiz.pro/signup?ref=njfb,"click on ""Sign Up with Email"" button. click on ""Sign Up with"
DL_001,"Now enter fullname
",https://programiz.pro/signup?ref=njfb,enter fullname and enter fullname. enter fullname.
DL_001,"Also enter the email address
",https://programiz.pro/signup?ref=njfb,enter the email address in the email address below.
DL_001,"Now enter password 
",https://programiz.pro/signup?ref=njfb,enter password and enter password. enter password.
DL_001,"click on ""Sign Up"" button",https://programiz.pro/signup?ref=njfb,"click on ""Sign Up"" button."
GM_23,,,a a a a a a
GM_23,"launch google browser
",,launch google browser. launch google browser.
GM_23,"open the given ""URL""
",,"open the given ""URL"" open the given ""URL"""
GM_23,"Enter first name 
",,Enter first name. Enter first name.
GM_23,"enter last name 
",,enter last name. enter last name. enter last name.
GM_23,"click ""Next"" button
",,"click ""Next"" button. click ""Next"""
GM_23," select month
",,select month. select month. select month.
GM_23," and now select day or date
",,select day or date. select day or date. select day or date. select
GM_23," finally select year
",,select year. select year finalists.
GM_23," Also select gender
",,select gender. select gender. select gender.
GM_23," click ""Next"" button
",,"click ""Next"" button. click ""Next"""
GM_23," click on option  ""Create your own Gmail address""
",,"click on the option ""Create your own Gmail address"". click on the"
GM_23," Enter custom gmail and  create a email address
",,enter custom gmail and create a email address.
GM_23," Click the ""Next"" button
",,"click the ""Next"" button. click the ""Next"" button."
GM_23," Now enter password 
",,enter password and enter password. enter password.
GM_23," enter same password
",,enter same password and enter same password. enter same password.
GM_23," Now click ""Next""
",,"click ""Next"" button. click ""Next"""
GM_23," enter the phone number
",,enter the phone number in the form below.
GM_23," click ""Next"" Button and wait for OTP
",,"click ""Next"" Button and wait for OTP. click ""Next"" Button"
GM_23," click ""Next"" button to move to next page
",,"click ""Next"" button to move to next page. click ""Next"" button to move"
GM_23," click ""Skip"" button to skip
",,"click ""Skip"" button to skip. click ""Skip"" button to"
GM_23," click ""Skip"" button to skip current page
",,"click ""Skip"" button to skip current page. click ""Skip"""
GM_23," click ""Next"" button for review",,"click ""Next"" button for review. click ""Next"" button."
