,split_text,keywords
0, open the browser,"open, browser"
1, enter the given url in the searchbox  httpswwwflipkartcom and click on enter button,"enter,  url, searchbox,  click,  enter,  button"
2, please make sure once and click on the first link which will be flipkarts official link," click,  link, official,  link"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, check the ui of home page,"check,  ui, home page"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button,"hover,  login button"
2, check if the options are displayed in a popover,"check, popover"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button,"hover,  login button"
2, click on signup hyperlink in the login button popover,"click, signup,  hyperlink,  login button, popover"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button,"hover,  login button"
2, click on signup hyperlink in the login button popover,"click, signup,  hyperlink,  login button, popover"
3, check the layouts and fields on the registration page,"check,  fields"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button,"hover,  login button"
2, click on signup hyperlink in the login button popover,"click, signup,  hyperlink,  login button, popover"
3, check the placeholder enter mobile number presented on the left top corner of mobile number text field,"check,  enter,  mobile number,  mobile number,  text field"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button in home page,"hover,  login button, home page"
2, click on signup hyperlink in the login button  popover,"click, signup,  hyperlink,  login button, popover"
3, click on the mobile number text field,"click,  mobile number,  text field"
4, enter a mobile number greater than,"enter,  mobile number"
5,,
6, digit in the mobile number text field on the registration page," mobile number,  text field"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button in home page,"hover,  login button, home page"
2, click on signup hyperlink in the login button  popover,"click, signup,  hyperlink,  login button, popover"
3, enter some alphabets  special characters in the mobile number field,"enter,  mobile number"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button in home page,"hover,  login button, home page"
2, click on signup hyperlink in the login button  popover,"click, signup,  hyperlink,  login button, popover"
3, enter a mobile number less than,"enter,  mobile number"
4,,
5, digits,
6, click on continue button,"click,  continue,  button"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button in home page,"hover,  login button, home page"
2, click on signup hyperlink in the login button  popover,"click, signup,  hyperlink,  login button, popover"
3, do not enter any data in the mobile number field," enter,  mobile number"
4, click on continue button,"click,  continue,  button"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button in home page,"hover,  login button, home page"
2, click on signup hyperlink in the login button  popover,"click, signup,  hyperlink,  login button, popover"
3, click on mobile number text field,"click,  mobile number,  text field"
4, enter a number in the mobile number text field on the registration page,"enter,  mobile number,  text field"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button in home page,"hover,  login button, home page"
2, click on signup hyperlink in the login button  popover,"click, signup,  hyperlink,  login button, popover"
3, click on mobile number text field,"click,  mobile number,  text field"
4, enter a mobile number and try to change the country code,"enter,  mobile number"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button,"hover,  login button"
2, click on signup hyperlink in the login button  popover,"click, signup,  hyperlink,  login button, popover"
3, enter a,enter
4,,
5,digit valid mobile number in the mobile number text field on the registration page," valid mobile number,  mobile number,  text field"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button,"hover,  login button"
2, click on signup hyperlink in the login button  popover,"click, signup,  hyperlink,  login button, popover"
3, enter a,enter
4,,
5,digit invalid mobile number in the mobile number text field on the registration page," mobile number,  mobile number,  text field"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button,"hover,  login button"
2, click on signup hyperlink in the login button  popover,"click, signup,  hyperlink,  login button, popover"
3, enter a,enter
4,,
5, digit mobile number in the mobile number text field and click on the send code button on the registration page," mobile number,  mobile number,  text field,  click,  send code button"
6, enter the valid otp number in the otp field,"enter,  valid otp,  otp field"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button,"hover,  login button"
2, click on signup hyperlink in the login button  popover,"click, signup,  hyperlink,  login button, popover"
3, enter a,enter
4,,
5, digit mobile number in the mobile number text field and click on the send code button on the registration page," mobile number,  mobile number,  text field,  click,  send code button"
6, enter the invalid otp number in the otp field and click on continue button,"enter,  invalid otp number,  otp field,  click,  continue,  button"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button,"hover,  login button"
2, click on signup hyperlink in the login button  popover,"click, signup,  hyperlink,  login button, popover"
3, enter a,enter
4,,
5, digit mobile number in the mobile number text field and click on the send code button on the registration page," mobile number,  mobile number,  text field,  click,  send code button"
6, enter the alphabets and special characters in the otp field,"enter,  otp field"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button,"hover,  login button"
2, click on signup hyperlink in the login button  popover,"click, signup,  hyperlink,  login button, popover"
3, enter a,enter
4,,
5, digit mobile number in the mobile number text field and click on the send code button on the registration page," mobile number,  mobile number,  text field,  click,  send code button"
6, do not enter any data in the otp field and click on continue button," enter,  otp field,  click,  continue,  button"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button,"hover,  login button"
2, click on signup hyperlink in the login button  popover,"click, signup,  hyperlink,  login button, popover"
3, enter a,enter
4,,
5, digit mobile number in the mobile number text field and click on the send code button on the registration page," mobile number,  mobile number,  text field,  click,  send code button"
6, if the system didnt send the otp number click on the resend code hyperlink on the otp screen," otp number,  click,  hyperlink"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, click on the login button on the home page,"click,  login button, home page"
0, open the application by using the given url httpswwwflipkartcom,"open,  url"
1, click on the login button login page will display,"click,  login button,  login page"
2, enter the valid mobile number in the mobile number text field and click on request otp button on the login page,"enter,  valid mobile number,  mobile number,  text field,  click,  request otp button,  login page"
3, enter the otp number received on the entered mobile number then click on continue button,"enter,  otp number,  mobile number,  click,  continue,  button"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, click on the login button,"click,  login button"
2, check the layouts and fields on the login page,"check,  fields,  login page"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, click on the login button login page will display,"click,  login button,  login page"
2, check the placeholder enter mobile number presented on the left top corner of mobile number text field,"check,  enter,  mobile number,  mobile number,  text field"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, click on the login button login page will display,"click,  login button,  login page"
2, click on the mobile number text field,"click,  mobile number,  text field"
3, enter a mobile number greater than,"enter,  mobile number"
4,,
5, digit in the mobile number text field on the login page," mobile number,  text field,  login page"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, click on the login button login page will display,"click,  login button,  login page"
2, enter some alphabets  special characters in the mobile number field,"enter,  mobile number"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, click on the login button login page will display,"click,  login button,  login page"
2, enter a mobile number less than,"enter,  mobile number"
3,,
4, digits in the login page mobile number field," login page,  mobile number"
5, click on request otp button,"click,  request otp button"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, click on the login button login page will display,"click,  login button,  login page"
2, do not enter any data in the login page mobile number field," enter,  login page,  mobile number"
3, click on request otp button,"click,  request otp button"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, hover over the login button in home page,"hover,  login button, home page"
2, click on the login button login page will display,"click,  login button,  login page"
