                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5123,                 6.0482,                 1.6424,                0.00075,                0.06667,                 0.0039,                0.00234,                 2.0851,                 6.1576,                 1.1487,                      0,                      0,                      0
                      2,                 2.2268,                 6.5401,                 1.4879,                0.00079,                0.06667,                0.00349,                0.00209,                 2.0652,                  6.067,                 1.1468,             3.9604e-06,             3.9604e-06,             3.9604e-06
                      3,                 2.7417,                 7.2823,                 1.4849,                0.00078,                0.06667,                0.00302,                0.00211,                 2.0461,                 5.9656,                 1.1436,             7.8416e-06,             7.8416e-06,             7.8416e-06
                      4,                 2.4689,                 6.0799,                 1.5843,                 0.0008,                0.06667,                0.00265,                0.00186,                 2.0257,                 5.7943,                 1.1439,             1.1644e-05,             1.1644e-05,             1.1644e-05
                      5,                 2.4746,                 5.9121,                 1.5665,                0.00093,                0.06667,                0.00229,                 0.0016,                 2.0114,                 5.5598,                 1.1502,             1.5366e-05,             1.5366e-05,             1.5366e-05
                      6,                 2.1183,                 5.4138,                 1.4317,                  0.001,                0.06667,                0.00221,                0.00155,                 2.0595,                 5.2392,                 1.1493,              1.901e-05,              1.901e-05,              1.901e-05
                      7,                 1.9504,                 5.2063,                 1.3065,                0.00663,                0.08571,                0.00686,                0.00383,                  2.126,                 4.9023,                 1.2016,             2.2574e-05,             2.2574e-05,             2.2574e-05
                      8,                 2.0601,                 4.8105,                 1.3356,                0.00844,                0.10476,                0.01252,                0.00679,                 2.1686,                 4.5153,                 1.3081,              2.606e-05,              2.606e-05,              2.606e-05
                      9,                 2.3391,                 4.4608,                 1.3402,                0.97281,                0.01905,                0.02867,                0.01557,                 2.1499,                 4.1355,                 1.3702,             2.9466e-05,             2.9466e-05,             2.9466e-05
                     10,                 2.0452,                 3.6775,                 1.3178,                0.97607,                0.01905,                0.02676,                0.01397,                 2.1409,                 4.0166,                 1.3604,             3.2792e-05,             3.2792e-05,             3.2792e-05
                     11,                 2.3139,                 4.1821,                 1.3588,                0.89323,                0.06984,                0.03471,                0.01771,                 2.1028,                 5.1906,                 1.3198,              3.604e-05,              3.604e-05,              3.604e-05
                     12,                 1.9352,                 3.8067,                 1.1861,                 0.8982,                0.06984,                0.03812,                 0.0194,                 2.0918,                   9.32,                 1.3039,             3.9208e-05,             3.9208e-05,             3.9208e-05
                     13,                 1.7479,                 3.1475,                 1.1988,                0.89393,                0.07937,                0.03723,                0.01952,                   2.08,                 11.023,                 1.2543,             4.2298e-05,             4.2298e-05,             4.2298e-05
                     14,                 1.9372,                 3.2564,                 1.2123,                0.89606,                0.04762,                0.03591,                0.01968,                 2.0464,                 8.7245,                 1.2182,             4.5308e-05,             4.5308e-05,             4.5308e-05
                     15,                 1.9974,                 3.6835,                 1.1813,                0.89905,                0.04762,                0.05817,                 0.0385,                 2.0072,                 5.8845,                 1.1537,             4.8238e-05,             4.8238e-05,             4.8238e-05
                     16,                 1.6362,                 3.0802,                 1.1301,                 0.8993,                0.04762,                0.07095,                0.04851,                 1.9708,                 4.6568,                 1.1438,              5.109e-05,              5.109e-05,              5.109e-05
                     17,                 1.6954,                 2.6414,                 1.1334,                0.90258,                0.04762,                0.10403,                 0.0742,                 1.9496,                 4.3377,                 1.1367,             5.3862e-05,             5.3862e-05,             5.3862e-05
                     18,                 1.6622,                 2.3307,                  1.101,                0.90258,                0.04762,                0.10403,                 0.0742,                 1.9496,                 4.3377,                 1.1367,             5.6556e-05,             5.6556e-05,             5.6556e-05
                     19,                 1.8647,                 2.8834,                 1.1826,                0.06869,                0.17778,                 0.1059,                 0.0757,                 1.9566,                  4.291,                 1.1641,              5.917e-05,              5.917e-05,              5.917e-05
                     20,                 1.7214,                 2.5062,                 1.1197,                0.06869,                0.17778,                 0.1059,                 0.0757,                 1.9566,                  4.291,                 1.1641,             6.1704e-05,             6.1704e-05,             6.1704e-05
                     21,                 1.8634,                 2.8211,                  1.145,                0.77292,                0.05714,                0.10337,                0.07405,                 1.9062,                 4.3968,                 1.1193,              6.416e-05,              6.416e-05,              6.416e-05
                     22,                 1.7732,                 2.6412,                 1.1691,                0.77292,                0.05714,                0.10337,                0.07405,                 1.9062,                 4.3968,                 1.1193,             6.6536e-05,             6.6536e-05,             6.6536e-05
                     23,                 1.6802,                  2.392,                 1.1417,                0.63884,                0.05714,                0.03684,                0.02098,                 1.8676,                 4.4694,                 1.0986,             6.8834e-05,             6.8834e-05,             6.8834e-05
                     24,                 1.9302,                  2.683,                 1.1899,                0.63884,                0.05714,                0.03684,                0.02098,                 1.8676,                 4.4694,                 1.0986,             7.1052e-05,             7.1052e-05,             7.1052e-05
                     25,                 1.5356,                 1.9234,                 1.0851,                0.57221,                0.05714,                 0.0457,                0.02668,                 1.8681,                 4.8218,                 1.0708,              7.319e-05,              7.319e-05,              7.319e-05
                     26,                 1.4816,                 2.2005,                  1.077,                0.57221,                0.05714,                 0.0457,                0.02668,                 1.8681,                 4.8218,                 1.0708,              7.525e-05,              7.525e-05,              7.525e-05
                     27,                  1.479,                 2.0314,                 1.0665,                0.50564,                0.05714,                 0.0502,                0.02826,                 1.8616,                 5.2073,                 1.0508,              7.723e-05,              7.723e-05,              7.723e-05
                     28,                 1.6498,                 2.2811,                 1.1117,                0.50564,                0.05714,                 0.0502,                0.02826,                 1.8616,                 5.2073,                 1.0508,             7.9132e-05,             7.9132e-05,             7.9132e-05
                     29,                 1.4685,                 1.7179,                  1.054,                0.29862,                0.14891,                0.05406,                0.03234,                 1.8766,                 5.9211,                 1.0601,             8.0954e-05,             8.0954e-05,             8.0954e-05
                     30,                 1.3949,                 1.6913,                 1.0859,                0.29862,                0.14891,                0.05406,                0.03234,                 1.8766,                 5.9211,                 1.0601,             8.2696e-05,             8.2696e-05,             8.2696e-05
                     31,                 1.4114,                  1.889,                0.98966,                0.25176,                0.14603,                0.07198,                0.04389,                 1.8661,                   7.29,                 1.0654,              8.436e-05,              8.436e-05,              8.436e-05
                     32,                 1.7768,                 2.2222,                 1.1985,                0.25176,                0.14603,                0.07198,                0.04389,                 1.8661,                   7.29,                 1.0654,             8.5944e-05,             8.5944e-05,             8.5944e-05
                     33,                 1.4859,                 1.9569,                 1.0766,                0.26451,                0.16825,                0.08989,                0.05184,                 1.8431,                 7.7883,                 1.0828,              8.745e-05,              8.745e-05,              8.745e-05
